index,prompt_raw,target_text,length,level
00246,"A vibrant food truck parked on a bustling city street, its side panel airbrushed with the bold text ""Tacos Save Lives"" in dynamic, colorful lettering, surrounded by illustrations of sizzling tacos and happy customers.",Tacos Save Lives,14,Hard
00247,"A serene desert scene with a weathered signpost pointing towards ""Hidden Water Spring"", surrounded by tall palm trees and golden sand dunes, under a clear blue sky.",Hidden Water Spring,17,Hard
00248,"A serene yoga studio with walls and floor adorned in a repeating pattern of ""Breathe In Panic Out"" on yoga mats, creating a calming yet motivational atmosphere.",Breathe In Panic Out,17,Hard
00249,"A vintage, rustic package of magic beans, prominently displaying the warning ""Grows Best in Debt"" in bold, gothic lettering. The package is worn, with a weathered texture, and sits on a wooden table next to a small, sprouting bean plant, hinting at its mystical properties.",Grows Best in Debt,15,Hard
00250,"A rustic farmer’s barn door, weathered by time, features a bold stenciled sign reading ""Fresh Eggs Daily"", surrounded by a countryside backdrop with a scattering of chickens.",Fresh Eggs Daily,14,Hard
00251,"A digital clock tower in a futuristic city square, prominently displaying the time ""3 15 PM"", with sleek, modern architecture and a vibrant, bustling crowd in the foreground.",3 15 PM,5,Easy
00252,"A close-up of a friendship bracelet with colorful beads spelling ""BFF 4 Ever"" on a sunlit wrist, the beads reflecting the warm sunlight, set against a soft, blurred background of green foliage.",BFF 4 Ever,8,Medium
00253,"A realistic photograph of a school bus stop sign with the text ""Stop When Red Lights Flash"" prominently displayed, set against a suburban street scene with a yellow school bus pulling over and children waiting at the stop.",Stop When Red Lights Flash,22,Hard
00254,"A close-up of a pizza delivery box, ""Hot And Fresh Guaranteed"", sitting on a wooden table, with steam rising from the box, and a slice of pizza partially visible, creating a warm, inviting atmosphere.",Hot And Fresh Guaranteed,21,Hard
00255,"A futuristic spaceship airlock with a prominent warning sign that reads ""Decompression Risk"" in glowing red letters, illuminated against the dark, metallic walls and dimly lit control panels.",Decompression Risk,17,Hard
00256,"A museum gallery with a futuristic interactive exhibit, featuring a large, glowing touchscreen display. A clear sign with the words ""Hands Off"" is prominently displayed, warning visitors not to touch. The scene is lit by the soft, ambient light from the exhibit and overhead spotlights.",Hands Off,8,Medium
00257,"A superhero in mid-flight, their cape billowing behind them, embroidered with ""Hero in Training"", against a city skyline at sunset, capturing the essence of an emerging hero.",Hero in Training,14,Hard
00258,"An antique treasure chest, its lid intricately carved with the ominous warning ""Open at Peril"", set against a backdrop of aged, wooden planks and flickering candlelight, evoking a sense of mystery and danger.",Open at Peril,11,Hard
00259,"A realistic smartphone screen displaying a weather app notification with the warning ""Storm Alert Active"", set against a backdrop of dark, stormy skies with flashes of lightning in the distance.",Storm Alert Active,16,Hard
00260,"In a desolate, post-apocalyptic landscape, a weathered gas station sign stands tall, reading ""Hope Sold Here 10 Miles Ahead"". The sign is partially rusted, with a faint glow from a single, flickering light, set against a backdrop of barren, overgrown terrain.",Hope Sold Here 10 Miles Ahead,24,Hard
00261,"A bustling street food scene with a vibrant food truck, its window sign prominently displaying ""Tacos 3 For 5 Dollars"" in bold, colorful letters, attracting a diverse crowd of hungry customers.",Tacos 3 For 5 Dollars,17,Hard
00262,"A medieval knight stands proudly, holding a shield emblazoned with the motto ""Honor Above All"" in intricate Old English font, set against a backdrop of a misty, ancient castle.",Honor Above All,13,Hard
00263,"A bustling farmers market with a wooden stall sign prominently displaying ""Organic Produce Only"", surrounded by vibrant, fresh vegetables and fruits, under a sunny sky.",Organic Produce Only,18,Hard
00264,"A realistic photograph of a roadside billboard displaying ""Next Exit 2 Miles"" against a backdrop of a busy highway, with cars passing by in the evening light.",Next Exit 2 Miles,14,Hard
00265,"A realistic photograph of a wooden door with a brass nameplate centered, clearly reading ""Dr Emily Grant"", set in a university hallway with soft, natural lighting.",Dr Emily Grant,12,Hard
00266,"A beekeeper stands beside a wooden hive box, carefully labeled ""Buzz Central Handle With Care"", surrounded by a bustling field of wildflowers, with bees fluttering around the hive and the keeper wearing traditional protective gear.",Buzz Central Handle With Care,25,Hard
00267,"A bakery window adorned with a decal in French, stating ""Fresh Croissants Daily"", surrounded by the warm glow of indoor lighting and a display of freshly baked croissants.",Fresh Croissants Daily,20,Hard
00268,"A detailed botanical garden map titled ""Tropical Zone Ahead"", featuring vibrant illustrations of exotic plants and flowers, set against a lush, green background with winding paths leading to various sections of the tropical zone.",Tropical Zone Ahead,17,Hard
00269,"A realistic photograph of a basketball court, focusing on the ""Free Throw Line"" with detailed wood grain and subtle wear marks, set under the bright lights of an indoor gym.",Free Throw Line,13,Hard
00270,"A realistic photograph of a race finish line, with a large banner prominently displaying ""Finish Line Ahead"" in bold letters, surrounded by cheering spectators and exhausted runners approaching the end of the track.",Finish Line Ahead,15,Hard
00271,"Retro arcade hall, dimly lit, vintage arcade machine glowing, screen blinking ""Insert Coin"", surrounded by nostalgic game posters, soft ambient light, 80s atmosphere.",Insert Coin,10,Medium
00272,"A realistic photograph of a cafe setting with a ""Do not reserve a seat"" reminder sign clearly posted on the back of a wooden chair, surrounded by other occupied and empty chairs, with soft ambient lighting.",Do not reserve a seat,17,Hard
00273,"A close-up of a hospital wristband labeled ""Patient 24601"" on a pale wrist, with medical equipment faintly visible in the background. The scene is lit by the cool, fluorescent lights typical of a hospital room, emphasizing the sterile and clinical environment.",Patient 24601,12,Hard
00274,"A baker's dozen box, elegantly tied with a ribbon featuring calligraphy that reads ""13 Cookies Inside"", sits on a rustic wooden table, surrounded by the warm, inviting glow of a cozy kitchen.",13 Cookies Inside,15,Hard
00275,"A rugged mountain climber's gear, tagged with ""Everest Expedition 2025"", lies on a rocky surface at the base of a snow-capped peak, with a panoramic view of the Himalayas in the background.",Everest Expedition 2025,21,Hard
00276,"A weathered Viking runestone stands in a misty Nordic landscape, ancient runes intricately carved into its surface. The runes spell out ""IKEA Assembly Instructions"", blending historical mystique with modern humor. Soft, diffuse sunlight highlights the stone's texture and the surrounding moss.",IKEA Assembly Instructions,24,Hard
00277,"A high-tech space station's control room, with a large alert screen flashing bright red, displaying ""Solar Storm Alert"" in bold, warning the crew of impending danger. The room is filled with the glow of various monitors and the tense atmosphere of the crew at work.",Solar Storm Alert,15,Hard
00278,"A realistic photograph of an elevator button panel, featuring a modern, sleek design with illuminated buttons. Notably, the panel includes a button labeled ""Floor ½"", set against a backdrop of brushed metal.",Floor ½,6,Medium
00279,"Two llamas energetically dancing the mambo, one of them playfully pointing to a vibrant sign that reads ""Llama Mambo"", set against a festive background with colorful lights and confetti.",Llama Mambo,10,Medium
00280,"A hospital room with a patient in a bed, an IV stand holding a bag labeled ""Critical Care Fluid Only"", and medical equipment in the background. The scene is lit by the soft glow of a lamp, creating a serene and focused atmosphere.",Critical Care Fluid Only,21,Hard
00281,"A whimsical treehouse nestled in a lush green canopy, with a rustic wooden sign nailed to the door, boldly stating ""No Adults Allowed"", surrounded by vibrant leaves and dappled sunlight.",No Adults Allowed,15,Hard
00282,"A dimly lit library archive, with old wooden shelves lined with dusty, leather-bound books. On a worn oak table, an archive box is prominently displayed, stamped in bold red letters, ""Classified Reality Anomalies"", surrounded by scattered papers and a flickering lamp.",Classified Reality Anomalies,26,Hard
00283,"A realistic smartphone screen with a notification pop-up displaying ""Low Battery Anxiety"" in the center, surrounded by a slightly blurred environment to focus attention on the message. The screen is set against a modern, minimalistic backdrop.",Low Battery Anxiety,17,Hard
00284,"A cozy, dimly-lit restaurant with a wooden sign that reads ""Bookings Recommended"" hanging above the entrance, illuminated by the warm glow of a vintage street lamp. The sign is slightly weathered, adding to the rustic charm of the setting.",Bookings Recommended,19,Hard
00285,"A sleek, modern vampire fitness tracker displays ""0 Steps 10000 Bites"" on its screen, resting on a dark, gothic desk surrounded by antique books and candles. The scene is bathed in a dim, eerie light, highlighting the tracker's eerie glow.",0 Steps 10000 Bites,16,Hard
00286,"A realistic photograph of an open detective's notepad page, titled ""Suspect Everyone"", with handwritten notes and sketches detailing various suspects and clues, set against a dimly lit, moody background.",Suspect Everyone,15,Hard
00287,"A realistic photograph of a gas station with a large, red price sign prominently displaying ""Fuel Prices Rising"" against a cloudy sky, cars filling up in the background, and a worried expression on the face of a customer checking the prices.",Fuel Prices Rising,16,Hard
00288,"A bustling movie theater at night, the marquee brightly lit and prominently displaying ""Midnight Premiere Sold Out"" in bold letters. Crowds of excited moviegoers gather outside, with some looking disappointed. The scene is set in a city with a modern, urban feel.",Midnight Premiere Sold Out,23,Hard
00289,"A close-up of a vintage seed packet, labeled ""Heirloom Tomatoes"", lying on a rustic wooden table, with sunlight filtering through a nearby window, casting a warm glow on the detailed illustrations of lush, red tomatoes and green leaves.",Heirloom Tomatoes,16,Hard
00290,"An ancient wizard in a dimly lit, rune-covered study, holding a glowing scroll that reads ""Spell Failed Try Rebooting"", surrounded by mystical artifacts and floating orbs of light.",Spell Failed Try Rebooting,23,Hard
00291,"A neon-lit ""Cyborg Lounge"" club sign with intricate circuit patterns, set against a futuristic cityscape at night, glowing vividly in the dark.",Cyborg Lounge,12,Hard
00292,"An astronaut stands on the lunar surface, their helmet visor reflecting the futuristic ""Moon Base Alpha"" in the distance, under the stark, shadowy landscape of the moon.",Moon Base Alpha,13,Hard
00293,"An astronaut stands against the vast, starry backdrop of space, the harsh, cold void emphasized by the dark hues. The helmet visor prominently displays ""O₂ LEVEL CRITICAL"" in stark, red text, highlighting the urgency of the situation.",O₂ LEVEL CRITICAL,15,Hard
00294,"A medieval tavern interior with a rustic wooden chalkboard hanging on a stone wall, displaying the menu: ""Mutton Stew 3 Coins"". Patrons in period attire sit at wooden tables, enjoying their meals by the warm glow of flickering candles.",Mutton Stew 3 Coins,16,Hard
00295,"A realistic photograph of a hospital wristband securely fastened around a patient's wrist, clearly printed with ""Patient Name Alex Smith"", set against a neutral background to emphasize the details of the wristband.",Patient Name Alex Smith,20,Hard
00296,"A vibrant poster design featuring the title text ""The Shining Hour"" in bold, illuminated letters, set against a backdrop of a radiant sunrise, with silhouettes of majestic mountains in the distance, evoking a sense of dawn and new beginnings.",The Shining Hour,14,Hard
00297,"A vibrant city skyline mural with the words ""Metropolis Dreams"" painted in the clouds, set against a twilight sky, capturing the essence of urban aspirations and dreams.",Metropolis Dreams,16,Hard
00298,"A realistic smartphone screen displaying a weather app with ""100% Chance of Rain"" forecast, set against a backdrop of dark, stormy clouds and light raindrops. The screen is slightly wet, reflecting the gloomy sky.",100% Chance of Rain,16,Hard
00299,"In an ancient Egyptian tomb, a golden sarcophagus lies under dim, flickering torchlight. The intricate hieroglyphs on its surface spell out a modern warning: ""Do Not Disturb Seriously"". The scene is both eerie and captivating, with shadows dancing across the ornate carvings.",Do Not Disturb Seriously,21,Hard
00300,"A tattered pirate flag with the embroidered text ""Seas Fury"" billowing in the strong sea breeze, its frayed edges and faded colors telling tales of countless battles and voyages.",Seas Fury,8,Medium
00301,"A vintage 1950s diner with a retro jukebox labeled ""Play Me 10 Grooves"" sitting on a polished wooden counter, surrounded by red leather stools and neon signs, capturing the essence of a classic American hangout.",Play Me 10 Grooves,15,Hard
00302,"In a modern, well-lit elevator, focus on the sleek, metallic button panel with the illuminated button for ""Floor 22"", reflecting a futuristic design. The scene captures the subtle glow of the button against the polished surface, emphasizing the clean, high-tech aesthetic.",Floor 22,7,Medium
00303,"A medieval knight stands proudly, holding a shield emblazoned with the ""Lionheart Clan"" crest. The intricate lion design is vivid and detailed, set against a rich, weathered metal background. Sunlight filters through the trees, casting a warm glow on the knight and the ancient, battle-worn shield.",Lionheart Clan,13,Hard
00304,"An ancient, weathered treasure map with ""X Marks Spot"" clearly visible, laid out on a rustic wooden table, surrounded by vintage compasses and old, leather-bound journals, under the warm glow of a flickering candle.",X Marks Spot,10,Medium
00305,"A modern kitchen countertop with a sleek digital microwave displaying the message ""Food Ready Now"" in bright, clear letters. The scene is lit by natural light from a nearby window, casting a soft glow over the stainless steel appliances and granite countertops.",Food Ready Now,12,Hard
00306,"A close-up of a gardener's potted plant, with a small, wooden tag hanging from the pot that clearly reads ""Water Sparingly"", set against a blurred, green garden background.",Water Sparingly,14,Hard
00307,"A close-up of a superhero's cape, intricately embroidered with the words ""Dry Clean Only"" in elegant, shimmering thread, set against the backdrop of a city skyline at dusk.",Dry Clean Only,12,Hard
00308,"A detailed close-up of a magic carpet with intricate embroidery, prominently featuring the text ""No Shoes Fly Casual"" woven in shimmering threads, set against a backdrop of a serene, cloudy sky.",No Shoes Fly Casual,16,Hard
00309,"A dimly lit, vintage elevator with a spooky button panel prominently displaying ""13½ Floor"". The worn buttons and peeling wallpaper add to the eerie atmosphere, suggesting a long-abandoned building with secrets hidden on that mysterious floor.",13½ Floor,8,Medium
00310,"A vintage magic potion bottle with an ornate label that reads ""Love Elixir"", surrounded by flickering candles and mystical herbs on a dark, wooden table, bathed in the soft, golden light of a moonlit night.",Love Elixir,10,Medium
00311,"Astronaut in a sleek spacesuit standing on the rugged Martian surface, with a clear ""Mars Colony One"" patch emblazoned on the chest, overlooking a vast, dusty red landscape under a pale sky.",Mars Colony One,13,Hard
00312,"A vintage farm tractor parked in a sunlit barn, its license plate clearly displaying ""Harvest King"", surrounded by bales of hay and farming tools, capturing the essence of rural agriculture.",Harvest King,11,Hard
00313,"A smartphone screen displays the message ""Charging Complete"" in a sleek, modern interface. The device rests on a dark, minimalist background, highlighting the vibrant, clear text against the subtle gradient.",Charging Complete,16,Hard
00314,"A high-resolution image of a bruised apple with a subtle, elegant texture. The apple sits on a plain background, with the text ""apples are good for you"" in a fancy, ornate font below it, emphasizing the contrast between the damaged fruit and the positive message.",apples are good for you,19,Hard
00315,"A high-resolution screenshot of a modern app interface, featuring a prominent button labeled ""Confirm Payment"", set against a clean, minimalist background with subtle gradients enhancing the button's visibility and interactability.",Confirm Payment,14,Hard
00316,"A modern gallery featuring a digital art installation that projects the words ""Digital Age"" in vibrant, pulsating colors against a sleek, minimalist backdrop.",Digital Age,10,Medium
00317,"A wizard's cauldron bubbling with ""Potion 9 Side Effects Include"", surrounded by ancient spellbooks and glowing runes, set in a dimly lit, mystical laboratory. Steam rises in swirls, casting eerie shadows on the stone walls.",Potion 9 Side Effects Include,25,Hard
00318,"A modern cityscape at dusk, featuring a large billboard prominently displaying the word ""unveiledness"" in bold, illuminated letters. The scene is bustling with pedestrians and vehicles, capturing the energy of urban life, while the billboard stands out as a focal point, evoking curiosity and intrigue.",unveiledness,12,Hard
00319,"Ancient cave wall featuring a prehistoric painting of a mammoth, with the words ""Ogg Was Here"" etched beneath it, illuminated by flickering torchlight, creating a mystical and historic atmosphere.",Ogg Was Here,10,Medium
00320,"A cozy campsite at dusk, with a campfire blazing warmly. A package of marshmallows labeled ""Extra Gooey"" sits next to the fire, partially opened, revealing large, fluffy marshmallows ready for roasting. The scene is serene, with a gentle forest backdrop.",Extra Gooey,10,Medium
00321,"A close-up of a hiking boot imprint in mud, clearly spelling ""Trail Blazer Pro"", surrounded by fallen leaves and forest debris, capturing the essence of an adventurous trek through a lush, wet woodland.",Trail Blazer Pro,14,Hard
00322,"A bustling bookstore with a shelf marker that reads ""Bestsellers This Week"" adorned with gleaming stars, surrounded by neatly arranged books and curious readers browsing through them.",Bestsellers This Week,19,Hard
00323,"An ice cream truck parked on a sunny street, with a vibrant menu board that reads ""Flavor of the Day Joy"" in colorful, playful letters, surrounded by cheerful customers and a backdrop of blue skies and green trees.",Flavor of the Day Joy,17,Hard
00324,"A close-up of a sleek smartwatch face, the screen displaying ""Step Goal Achieved"" in bold, modern font, with a vibrant green checkmark beside it, set against a dark background with subtle light reflections.",Step Goal Achieved,16,Hard
00325,"A medieval castle courtyard at sunset, with a grand banner unfurling the crest ""House of Dragons"" against a backdrop of ancient stone walls and towering turrets, bathed in the warm, golden light of the setting sun.",House of Dragons,14,Hard
00326,"A time traveler stands in a vintage 1950s street scene, holding a postcard that reads ""Wish You Were Yesterday"". The backdrop features a nostalgic soda shop and classic cars, with the traveler dressed in a modern outfit, creating a striking contrast.",Wish You Were Yesterday,20,Hard
00327,"A detailed campground map with a legend, prominently featuring a blue dot symbol labeled ""Water Source Blue Dot"" next to a serene lake, surrounded by tents and picnic tables in a lush forest setting.",Water Source Blue Dot,18,Hard
00328,"A highway patrol car with a ""Speed Limit 65"" sign on the side, parked on a busy road at dusk, with the lights of passing cars streaking in the background.",Speed Limit 65,12,Hard
00329,"A vintage, leather-bound restaurant reservation book opened to a page showing ""Table 5 7 PM"" with a classic fountain pen resting beside it, set on a luxurious, dark wooden desk under the warm glow of an antique desk lamp.",Table 5 7 PM,9,Medium
00330,"A comic strip panel with a vibrant, colorful background, featuring large, bold text that exclaims ""That's All Folks!"" in a classic, whimsical font, surrounded by playful illustrations and dynamic speech bubbles.",That's All Folks!,15,Hard
00331,"A movie poster featuring the title text ""Half Baked"" prominently at the top, with a comedic scene below showing a group of friends in a kitchen, surrounded by baking ingredients and laughing, set against a warm, cozy background.",Half Baked,9,Medium
00332,"An ancient papyrus scroll with faded text, ""Pharaohs Eternal Rest"", lying on a weathered stone table in a dimly lit Egyptian tomb, surrounded by intricate hieroglyphics and flickering candlelight.",Pharaohs Eternal Rest,19,Hard
00333,"A pumpkin adorned with a beard, a monocle, and a top hat, with a speech bubble containing the text ""subsequently"", set against a whimsical autumn background.",subsequently,12,Hard
00334,"A rock band's drum kit center stage, bathed in dramatic lighting, with the tour name ""The Wild Storms Tour"" emblazoned on the bass drum, surrounded by a whirlwind of smoke and passionate fans in a packed arena.",The Wild Storms Tour,17,Hard
00335,"A museum exhibit features an ancient, intricately carved statue under warm, focused lighting. A polished plaque in front reads ""Do Not Touch"", warning visitors to admire the artifact from a respectful distance. The scene is captured with a high-resolution camera, emphasizing the texture and detail of the statue and the clear, legible text on the plaque.",Do Not Touch,10,Medium
00336,"A dark, misty forest with a glowing magical portal emitting a soft, ethereal light. Above the portal, ancient runes spell out ""Enter at Own Risk"" in an ominous, glowing red. The scene is eerie yet captivating, with the portal as the focal point.",Enter at Own Risk,14,Hard
00337,"A lonely desert highway stretches into the distance, the sun beating down on a weathered sign that reads ""Last Gas 102 Miles"", its paint peeling and faded from years of exposure. Dust swirls around the sign, emphasizing the stark, arid landscape.",Last Gas 102 Miles,15,Hard
00338,"In an ancient Egyptian tomb, the Pharaoh’s sarcophagus is adorned with intricate hieroglyphs that spell ""BRB Mummified"". The golden lid reflects the dim light of a torch, casting shadows on the detailed carvings.",BRB Mummified,12,Hard
00339,"A close-up of a prison uniform, showcasing the ID patch prominently stamped with ""INMATE 24601"" in bold, dark ink, set against the worn, gray fabric. The patch is slightly faded and worn, reflecting the harsh conditions of prison life.",INMATE 24601,11,Hard
00340,"A close-up of a digital thermometer with a red background, prominently displaying ""98F Heat Warning"" in large, clear digits, with a slight reflection from the screen indicating a source of light nearby.",98F Heat Warning,14,Hard
00341,"A plant nursery scene with rows of vibrant, healthy plants. A small, wooden tag hangs from a delicate flower, reading ""Water Me, I'll Love You"". Soft sunlight filters through the glass ceiling, casting gentle shadows.","Water Me, I'll Love You",19,Hard
00342,"In a dimly lit museum hall, a large, detailed plaque stands next to an imposing Jurassic Era fossil. The plaque, illuminated by a spotlight, reads: ""Jurassic Era Fossil"". The fossil's massive bones cast long shadows, enhancing the prehistoric atmosphere.",Jurassic Era Fossil,17,Hard
00343,"A beautifully crafted wedding cake with multiple layers, each adorned with intricate designs and fresh flowers. The top layer features the elegant text ""Emily & Jake Forever"" in a stylish script, reflecting the joy and commitment of the couple's special day.",Emily & Jake Forever,17,Hard
00344,"A campfire in a dense forest, with smoke curling upwards and forming the words ""Send Help"" against a twilight sky, partially obscured by the treetops.",Send Help,8,Medium
00345,"A scientist stands in a dimly lit laboratory, the chalk in her hand pausing mid-air. Behind her, a chalkboard filled with complex equations, culminating in the number ""42"" at the bottom right corner, illuminated by a single spotlight.",42,2,Easy
00346,"A construction worker in a bright yellow vest and hard hat, featuring a sticker that reads ""Safety First Always"", stands against a backdrop of a bustling construction site, with cranes and scaffolding visible in the distance.",Safety First Always,17,Hard
00347,"A vast desert landscape under a scorching sun, with a faded billboard in the distance reading ""Last Exit to 1999"". The billboard appears as a surreal mirage, half-dissolving into the shimmering heat waves, evoking a sense of nostalgia and abandonment.",Last Exit to 1999,14,Hard
00348,"A weathered, rusty shipwreck plank floats in the water, with ""SOS 12N 45W"" painted in stark white, reflecting the urgency of a long-lost distress signal.",SOS 12N 45W,9,Medium
00349,"A movie poster titled ""Scrooge"", featuring a grim, Victorian-era London street at night, with a cold, elderly man in a long, dark coat standing under a gaslight, his face shadowed but eyes piercing, surrounded by fog and silhouettes of distant, imposing buildings.",Scrooge,7,Medium
00350,"A dark, ominous entrance to a supervillain lair, with a sleek, metal door and dim, red lighting. At the threshold, a menacing welcome mat reads ""Wipe Feet Souls"", adding a chilling touch to the scene.",Wipe Feet Souls,13,Hard
00351,"A realistic supermarket scene with a floor sticker that reads ""Cleanup Aisle 5"", surrounded by grocery carts and shelves stocked with various products, capturing the busy yet organized atmosphere of a typical store.",Cleanup Aisle 5,13,Hard
00352,"A vintage detective novel cover with the title ""Case of the Silent Clock"" in elegant, old-fashioned typography, set against a dark, moody background with a foggy, 1920s cityscape and a mysterious figure in a trench coat and hat, holding a pocket watch.",Case of the Silent Clock,20,Hard
00353,"A vintage leather-bound journal titled ""My Secret Thoughts"" lies open on a rustic wooden table, the pages filled with handwritten entries. Soft, warm lighting casts gentle shadows, enhancing the tactile quality of the leather and the delicate penmanship.",My Secret Thoughts,16,Hard
00354,"A detailed drawing featuring the text ""band"" in bold, alphabetism style, intricately intertwined with thick gauge filigree, creating a visually complex and elegant design.",band,4,Easy
00355,"A realistic photograph of a fire extinguisher cabinet, clearly labeled ""Emergency Use Only"", mounted on a white wall in a modern office corridor, with soft overhead lighting casting a gentle glow.",Emergency Use Only,16,Hard
00356,"A medieval shield, intricately emblazoned with the phrase ""Defender Of The Realm"", hangs prominently in a dimly lit armory, its metal surface reflecting the flickering torchlight, showcasing detailed engravings and a weathered, battle-worn texture.",Defender Of The Realm,18,Hard
00357,"A cozy bedroom with a soft, plush pillow on the bed, embroidered with ""Sweet Dreams"" in elegant, flowing letters. The room is bathed in the warm, gentle light of a bedside lamp, creating a serene and inviting atmosphere.",Sweet Dreams,11,Hard
00358,"A neon bar sign shaped like a cocktail glass, displaying the text ""Tipsy Hour"", illuminated against a dark urban night, with a subtle glow reflecting on the wet pavement below.",Tipsy Hour,9,Medium
00359,"A realistic photograph of a highway billboard advertising ""Next Exit Gas Food"" beside a bustling road, with cars passing by in the twilight, and the sign illuminated by the setting sun.",Next Exit Gas Food,15,Hard
00360,"A close-up of a freshly baked bread loaf in a rustic bakery, with a small, elegant tag hanging from it that reads ""Fresh Baked 6 AM"", surrounded by the warm, golden glow of early morning light.",Fresh Baked 6 AM,13,Hard
00361,"A realistic kitchen scene with a modern microwave. The display screen shows a sentient expression and the question ""Really Reheat Coffee Again?"" in clear, bold text. The kitchen is well-lit, with a cup of coffee on the counter next to the microwave.",Really Reheat Coffee Again?,24,Hard
00362,"A detailed medieval parchment scroll, unrolled to reveal the text ""Royal Decree 1066"", set against a backdrop of ancient wooden furniture and flickering candlelight, emphasizing the historical significance and authentic texture of the scroll.",Royal Decree 1066,15,Hard
00363,"In a bustling school gym, the scoreboard dramatically lights up, prominently displaying the ""Final Quarter"" indicator, casting a glow over the excited crowd and tense players, emphasizing the high stakes of the game.",Final Quarter,12,Hard
00364,"A drone hovers in a dimly lit room, its underside LED glowing red with the text ""Recording Live"" clearly visible, casting a soft, eerie light on the surroundings.",Recording Live,13,Hard
00365,"Retro gas pump with a faded, peeling vintage design, prominently displaying ""Unleaded 099"" on the side, set against a nostalgic backdrop of an old American roadside scene.",Unleaded 099,11,Hard
00366,"A realistic photograph of a pharmacy window, featuring a prominently displayed sticker that reads ""24 Hour Service"", illuminated by the warm glow of the store's interior lights, with a subtle reflection of the street outside.",24 Hour Service,13,Hard
00367,"A laboratory setting with a mouse maze clearly marked with a sign that reads ""Test Group B"". The maze is intricate, with multiple paths, and the sign is prominently displayed, ensuring clarity in the experimental setup.",Test Group B,10,Medium
00368,"A bustling carnival scene with a vibrant game booth featuring a large, eye-catching sign that reads ""Win Giant Panda Prize"". Colorful balloons and excited children surround the booth, where a giant panda plush toy sits prominently on a pedestal, waiting to be won.",Win Giant Panda Prize,18,Hard
00369,"A close-up of a guitar case with a vibrant ""Rock On"" sticker, prominently displayed. The sticker features bold, dynamic lettering against a colorful, gradient background, capturing the energy and spirit of rock music.",Rock On,6,Medium
00370,"A close-up shot of a vibrant candy wrapper with the brand name ""Sweet Tooth Co"" prominently displayed, set against a soft, blurred background of a candy store shelf, capturing the playful and inviting atmosphere of the sweets.",Sweet Tooth Co,12,Hard
00371,"A freshly baked bread loaf, its golden crust scored with the words ""Daily Special"" in an elegant, cursive script, sitting on a rustic wooden board in a cozy bakery, with steam gently rising from its surface.",Daily Special,12,Hard
00372,"A neon bar sign with ""Open 247"" glows brightly in a dim, rainy alley, reflecting off wet cobblestones and creating a vibrant, atmospheric glow.",Open 247,7,Medium
00373,"A close-up shot of a lush green vine with the text ""kokachin"" sprouting from it, centered in the frame, with a soft, natural light highlighting the intricate details of the vine and the text.",kokachin,8,Medium
00374,"A medieval shield, intricately crafted with a bold emblem and the motto ""Honor Above All"" inscribed in elegant, gothic lettering, hangs against a weathered stone wall in a dimly lit castle hall.",Honor Above All,13,Hard
00375,"A bustling amusement park with a vibrant roller coaster in the background, featuring a prominently displayed ride sign warning ""You Must Be This Tall"" with a measuring ruler next to it, surrounded by excited children and their parents.",You Must Be This Tall,17,Hard
00376,"A realistic photograph of a bank ATM screen displaying the message ""Daily Limit Reached"", set in a dimly lit evening street with a slightly blurred cityscape in the background, emphasizing the isolation and frustration of the situation.",Daily Limit Reached,17,Hard
00377,"A rural landscape with a wooden signpost reading ""Tomatoes Ahead"" standing in a lush, green farmer’s field, surrounded by vibrant tomato plants and a clear blue sky.",Tomatoes Ahead,13,Hard
00378,"A realistic photograph of a birthday cake topper spelling out ""Happy 30th Jake"" on a beautifully decorated cake, with colorful candles and a festive background.",Happy 30th Jake,13,Hard
00379,"A realistic photograph of a post office package, prominently featuring a large, red stamp that reads ""Fragile  Handle With Care"", surrounded by other packages and postal markings.",Fragile  Handle With Care,21,Hard
00380,"A 24-hour diner with a ""Kitchen Closed"" neon sign glowing in the window, set against a dark, rainy night. The sign's red and blue lights reflect on the wet pavement, creating a nostalgic, urban atmosphere.",Kitchen Closed,13,Hard
00381,"A newspaper headline reads ""qurniyya"" with a photo displaying a half-eaten pumpkin on a rustic wooden table, surrounded by fallen leaves, under the warm glow of a vintage lamp.",qurniyya,8,Medium
00382,"A vintage, dusty library book with a faded green cover, opened to a page revealing a weathered stamp that reads ""Return by March 15 1998"", surrounded by other old, worn books on a wooden shelf.",Return by March 15 1998,19,Hard
00383,"A retro arcade cabinet stands in a dimly lit room, its marquee glowing brightly with the words ""Insert Coin to Save World"", casting a nostalgic aura around the pixelated artwork on its sides.",Insert Coin to Save World,21,Hard
00384,"A realistic construction site scene with a fence sign prominently displaying ""Hard Hat Area"" in bold letters, surrounded by safety cones and workers in high-visibility vests. The background shows partially built scaffolding and a crane in the distance.",Hard Hat Area,11,Hard
00385,"A close-up photograph of a medicine bottle with a white label that reads ""Shake Well Before Use"", set against a neutral background, emphasizing the clear and legible text on the label.",Shake Well Before Use,18,Hard
00386,"An ancient, weathered scroll unfurled on a wooden table, revealing the faded ink inscription ""The Oracle Lies"" against a backdrop of yellowed parchment. Soft, ambient light illuminates the scene, casting gentle shadows and highlighting the scroll's intricate texture.",The Oracle Lies,13,Hard
00387,"A UFO hovers above a dark forest, its abduction beam illuminating a lone figure. The beam projects the message ""Human Specimen Required"" in glowing green letters, casting an eerie glow on the trees and the frightened individual below.",Human Specimen Required,21,Hard
